"Senator_Name" "Senator_Party" "Senator_State" "State_Winner_2016" "State_Winner_2008" "PCA Axis 1" "PCA Axis 2" "PCA Axis 3" "PCA Axis 4" "PCA Axis 5"
"Akaka" "D" "HI" "Clinton" "Obama" -18.6555772386087 -3.67836632467355 -0.119787950851306 -2.70372681048085 0.0984115105538416
"Alexander" "R" "TN" "Trump" "McCain" 5.81659702149153 -13.519890056019 -6.57854193185429 0.0472074047938573 4.04714774208599
"Barrasso" "R" "WY" "Trump" "McCain" 13.632092927717 -11.3560638363499 3.38367893788563 -1.04105016734545 0.640016920806044
"Baucus" "D" "MT" "Trump" "McCain" -16.7231046786813 -5.96902049318233 0.303514901954702 1.3779975212832 -2.46140677511293
"Bayh" "D" "IN" "Trump" "Obama" -7.79321592355166 -8.05593218118434 7.61408294036271 7.25144660411025 0.9583432988971
"Begich" "D" "AK" "Trump" "McCain" -16.9620358170237 -5.03824605783375 -0.0870440561077433 0.568278568918517 -2.64759631794858
"Bennet" "D" "CO" "Clinton" "Obama" -16.5244898449292 -5.2437107972702 2.33144277140558 1.2788888865971 -0.614738532008214
"Bennett" "R" "UT" "Trump" "McCain" 8.0525115690304 -13.6936436837453 -6.33036928541267 -1.93015567871167 0.0509605703355769
"Bingaman" "D" "NM" "Clinton" "Obama" -17.7189852046546 -3.71882679144331 -0.0843574225787292 -1.07361343409708 0.106623337360506
"Bond" "R" "MO" "Trump" "McCain" 4.27462358188371 -12.6769305703624 -8.80618641861552 -0.65883498403131 -1.3936882447785
"Boxer" "D" "CA" "Clinton" "Obama" -18.2861994598754 -4.10742916050308 0.148613285694843 -2.33548368214874 -0.828808663872147
"Brown" "D" "OH" "Trump" "Obama" -18.5650279498719 -2.76054906810739 0.401265381125381 -2.53770651766721 0.673658606454951
"Brownback" "R" "KS" "Trump" "McCain" 10.2817782611364 -13.1534464401218 -2.83045766052534 -3.330456387405 -2.61585971824694
"Bunning" "R" "KY" "Trump" "McCain" 13.6455315518325 -7.75259914762971 3.69121133757904 -2.08558653293706 -2.82846506621281
"Burr" "R" "NC" "Trump" "Obama" 13.6742820047332 -10.9496318074719 4.08728557841739 -1.93229212637423 -1.68099547062299
"Burris" "D" "IL" "Clinton" "Obama" -18.4156134306818 -2.62834462607204 0.115015906409334 -3.05051233767338 0.833222342299524
"Cantwell" "D" "WA" "Clinton" "Obama" -17.4929077696945 -4.7699974783867 0.57235064583025 -0.644888456988755 -0.52486980395442
"Cardin" "D" "MD" "Clinton" "Obama" -18.753950818491 -3.02911305541492 0.42464674971583 -2.24743070228662 1.66576179048554
"Carper" "D" "DE" "Clinton" "Obama" -16.8819381073928 -4.3459259696956 1.25677719171939 -0.75404120469118 1.58039947282519
"Casey" "D" "PA" "Trump" "Obama" -17.6464113386035 -4.58060044159109 0.17486821380663 -0.830767073297665 -1.26729787906323
"Chambliss" "R" "GA" "Trump" "McCain" 12.9014449061954 -11.7067132310144 3.15924584115807 -1.45034778192253 -0.353341727210832
"Coburn" "R" "OK" "Trump" "McCain" 15.7068250302133 -6.98810659353731 4.33099648618946 -0.599026936908651 -1.59127107518536
"Cochran" "R" "MS" "Trump" "McCain" 5.39758967843313 -13.7650678123396 -8.44552708855787 -2.2877559801846 -0.367717248418231
"Collins" "R" "ME" "Clinton" "Obama" -4.08823550384438 -12.7998785185605 -5.75421723939853 5.9075854739808 2.3931255951977
"Conrad" "D" "ND" "Trump" "McCain" -15.7332771268273 -6.03204828181898 2.61675693902898 2.59469502322231 -0.191868148353456
"Corker" "R" "TN" "Trump" "McCain" 9.76397799787581 -12.1929673631462 2.90252630656241 0.715275711375338 5.62926566832777
"Cornyn" "R" "TX" "Trump" "McCain" 12.9898550898211 -11.4057951132131 3.51231481578665 -1.15558673488272 -1.23219369617433
"Crapo" "R" "ID" "Trump" "McCain" 11.7698066837942 -12.7392862217324 1.69036007483117 -1.63415162769108 -2.32470528992862
"DeMint" "R" "SC" "Trump" "McCain" 15.2499093239842 -7.84882494995083 4.62968508614621 -1.09190076168833 -2.45166547328498
"Dodd" "D" "CT" "Clinton" "Obama" -18.306301324596 -3.55281902682505 0.078897976045083 -2.65587784187359 0.825714676123814
"Dorgan" "D" "ND" "Trump" "McCain" -16.021876403429 -6.27532544893746 0.715947844528052 3.10107706326451 -1.69069340056999
"Durbin" "D" "IL" "Clinton" "Obama" -18.6496943441746 -1.99384471048038 -0.538530314749971 -2.78445000916685 0.971449056165315
"Ensign" "R" "NV" "Clinton" "Obama" 13.5079704384447 -10.2789160981412 3.86973967209106 -1.60512800232868 -0.789337489466273
"Enzi" "R" "WY" "Trump" "McCain" 13.7187594204501 -10.666984286595 3.68778692466089 -0.97435879769834 0.630891618999146
"Feingold" "D" "WI" "Trump" "Obama" -11.0898559351687 -4.54600909083352 8.62351368220396 4.91740036055072 1.36172003343073
"Feinstein" "D" "CA" "Clinton" "Obama" -18.0660954299738 -3.65337025094577 0.452548461620993 -2.00207726058982 -0.254248155361285
"Gillibrand" "D" "NY" "Clinton" "Obama" -17.6471328156008 -3.38303802230924 -0.364971639864089 -3.25908130493468 1.26145547349124
"Graham" "R" "SC" "Trump" "McCain" 11.7879327924177 -11.8716417858718 3.12443315878667 -0.281657286619252 0.484823267663463
"Grassley" "R" "IA" "Trump" "Obama" 11.800362844839 -11.9057062300128 3.56562748020501 -0.0386297475062506 -0.700828058563523
"Gregg" "R" "NH" "Clinton" "Obama" 6.38367561436636 -11.4477431608824 -1.37224280724809 1.65162187642527 7.27398574372168
"Hagan" "D" "NC" "Trump" "Obama" -16.5450083813964 -5.56741053049459 0.584667448888361 0.325969517865595 -2.04470293992362
"Harkin" "D" "IA" "Trump" "Obama" -18.38018976172 -2.23391814587133 -0.538837086573483 -2.59922318453887 0.558835439006119
"Hatch" "R" "UT" "Trump" "McCain" 8.79572185136266 -13.4035073297468 -2.14668228354647 0.337923054340793 2.32658380871677
"Hutchison" "R" "TX" "Trump" "McCain" 9.14432506538148 -13.0484521093208 -0.396570681911677 0.152386475069811 -0.283078792418181
"Inhofe" "R" "OK" "Trump" "McCain" 14.0830053753167 -9.948901736272 2.7241163141828 -2.29346486850351 -2.68942783817833
"Inouye" "D" "HI" "Clinton" "Obama" -18.6965908313248 -3.62760263074218 0.251112053301076 -2.72941330752031 0.336986251799139
"Isakson" "R" "GA" "Trump" "McCain" 12.9021706303694 -11.8658843270113 1.89156789765658 -1.49589649432162 0.24040468025398
"Johanns" "R" "NE" "Trump" "McCain" 10.9671109096466 -11.7870708216633 2.79237444906528 -1.39520216619548 1.08026468832328
"Johnson" "D" "SD" "Trump" "McCain" -17.5490535654671 -4.18326554287695 -0.332308828922637 -0.377479847931775 -1.13874087113208
"Kaufman" "D" "DE" "Clinton" "Obama" -18.0271788364053 -3.20100603564452 1.67529553024783 -1.9125750691049 1.54744502616304
"Kerry" "D" "MA" "Clinton" "Obama" -18.3101862695866 -2.47296662153425 0.170539928114868 -2.96555157860514 1.16347355262873
"Klobuchar" "D" "MN" "Clinton" "Obama" -15.9406069726848 -6.22776337083375 2.03651316370655 2.64798543654033 -0.139357171275018
"Kohl" "D" "WI" "Trump" "Obama" -17.6722273955346 -5.23816139147058 0.877274177572935 1.0639616413968 0.397355063095457
"Kyl" "R" "AZ" "Trump" "McCain" 13.9582082014668 -9.68844521086965 4.17474675643018 -0.740174833575447 1.44282052088538
"Landrieu" "D" "LA" "Trump" "McCain" -15.7454180834461 -5.51975869467514 0.0394591896032235 0.74418181512053 -1.92886826716274
"Lautenberg" "D" "NJ" "Clinton" "Obama" -18.7693719865199 -3.27907421238571 -0.239557480424467 -2.98368633994812 1.20823523783845
"Leahy" "D" "VT" "Clinton" "Obama" -18.1680167755316 -3.21350984651003 -0.18556292472811 -1.23008796296059 0.0386703968469114
"Levin" "D" "MI" "Trump" "Obama" -18.6966470600879 -3.48407112554016 0.470061939017409 -1.82253387936214 1.1624617553457
"Lieberman " "D" "CT" "Clinton" "Obama" -15.6397919723143 -4.57372499147883 0.389403196352437 -1.37972088968674 0.784207580288249
"Lincoln" "D" "AR" "Trump" "McCain" -14.5668234764313 -7.85975945795116 -0.00351953506527258 4.27043864771394 -3.26292690646198
"Lugar" "R" "IN" "Trump" "Obama" 4.73517086200838 -13.2772134704789 -1.17631117133692 1.96227339116033 8.47789900287071
"McCain" "R" "AZ" "Trump" "McCain" 13.4101068566158 -10.4398973955495 4.72863121237968 -0.255692676488259 1.25027122111435
"McCaskill" "D" "MO" "Trump" "McCain" -10.3665813275861 -5.258487729439 9.8622378993893 4.81868704498032 2.66297884079107
"McConnell" "R" "KY" "Trump" "McCain" 12.5126281366324 -12.5734762715115 0.67639599358145 -1.92460092788158 -0.0106676596991019
"Menendez" "D" "NJ" "Clinton" "Obama" -18.3168315679895 -3.0612142931066 0.142596337594619 -2.3863332775459 1.52059484274302
"Merkley" "D" "OR" "Clinton" "Obama" -18.3691451083371 -3.65499396254557 1.08159377395568 -0.817310131654403 1.0483288460249
"Mikulski" "D" "MD" "Clinton" "Obama" -17.0354152097411 -3.22307996450986 0.71663597087662 -2.17206333112196 0.728184746964394
"Murkowski" "R" "AK" "Trump" "McCain" 3.2164858536372 -13.9292678105361 -7.72859784589415 1.53366503555707 1.95818029104296
"Murray" "D" "WA" "Clinton" "Obama" -18.0298095383673 -4.26829787950783 0.407521001308183 -1.61695341835031 -0.388241336224112
"Nelson" "D" "FL" "Trump" "Obama" -7.97950784016999 -11.0087460217439 -4.17689314218809 8.79681028699892 -5.86141260262845
"Nelson" "D" "FL" "Trump" "Obama" -17.3714257372482 -5.17428884398028 0.792675950363683 0.391227883752028 -1.25985753369953
"Nelson" "D" "NE" "Trump" "McCain" -7.97950784016999 -11.0087460217439 -4.17689314218809 8.79681028699892 -5.86141260262845
"Nelson" "D" "NE" "Trump" "McCain" -17.3714257372482 -5.17428884398028 0.792675950363683 0.391227883752028 -1.25985753369953
"Pryor" "D" "AR" "Trump" "McCain" -16.8336227249242 -6.33537750693411 0.11996227809945 1.02923713799119 -2.54147525104303
"Reed" "D" "RI" "Clinton" "Obama" -18.6469969602897 -2.82123589854942 -0.288780017763675 -2.98707352798131 1.45826140406407
"Reid" "D" "NV" "Clinton" "Obama" -18.0446053959856 -4.39657446761359 0.0629618195356469 -1.75624376036631 -0.272866444376757
"Risch" "R" "ID" "Trump" "McCain" 12.2260464032343 -12.8315409010925 1.57394813044769 -1.88624431404235 -2.49706501696682
"Roberts" "R" "KS" "Trump" "McCain" 10.379722038949 -12.6182931093098 -3.51487521078172 -2.98556147000554 -2.45829058999027
"Rockefeller" "D" "WV" "Trump" "McCain" -16.3759319727374 -1.85508033367363 -0.727051505347018 -0.931411444085789 -0.53053339322056
"Sanders" "I" "VT" "Clinton" "Obama" -17.7957768301743 -1.68044032232942 -0.0182538479329645 -0.851706946613818 0.0957526445382687
"Schumer" "D" "NY" "Clinton" "Obama" -18.6890265287771 -3.92018535951038 -0.0197804823225918 -2.46164723882635 0.85837062306962
"Sessions" "R" "AL" "Trump" "McCain" 13.0796599959454 -10.4224065779279 3.54582124569002 -1.80905943950966 -0.120815956451791
"Shaheen" "D" "NH" "Clinton" "Obama" -17.8867775444255 -4.34372143137882 -0.023490806470221 -0.781091471378922 -0.247440296814766
"Shelby" "R" "AL" "Trump" "McCain" 8.26077044455335 -13.3052924813398 -6.91951110893093 -3.21563721355364 -4.07105850282525
"Snowe" "R" "ME" "Clinton" "Obama" -3.95892397605658 -12.4662827295662 -2.82554344490698 7.67993545372399 3.14329673518528
"Stabenow" "D" "MI" "Trump" "Obama" -18.4080072020725 -4.42547993759724 0.598389828078084 -1.22190404297838 -0.497092838849432
"Tester" "D" "MT" "Trump" "McCain" -17.0993247046376 -6.33885240153218 0.0936046482495141 1.31490533312203 -2.65176195632044
"Thune" "R" "SD" "Trump" "McCain" 13.3095722717181 -11.6739095380821 3.69471929559543 -0.862538236937201 0.106252722651582
"Udall" "D" "CO" "Clinton" "Obama" -18.2163630944627 -4.00849063332505 1.19680669397558 -1.21743921956726 -0.594657170383406
"Udall" "D" "CO" "Clinton" "Obama" -17.1755736710303 -4.87601665964593 1.99348803374761 0.530440543844635 0.670360601682975
"Udall" "D" "NM" "Clinton" "Obama" -18.2163630944627 -4.00849063332505 1.19680669397558 -1.21743921956726 -0.594657170383406
"Udall" "D" "NM" "Clinton" "Obama" -17.1755736710303 -4.87601665964593 1.99348803374761 0.530440543844635 0.670360601682975
"Vitter" "R" "LA" "Trump" "McCain" 12.806331764784 -11.2401001326998 2.94038529633762 -1.61019187928292 -1.55908636180199
"Voinovich" "R" "OH" "Trump" "Obama" -0.285199033900233 -11.680494092023 -6.31488202876949 2.80896835820946 6.25920259032283
"Warner" "D" "VA" "Clinton" "Obama" -16.7744057053339 -5.24460777132123 0.50911689124415 0.771399061746045 0.401829804648778
"Webb" "D" "VA" "Clinton" "Obama" -14.546911386629 -6.98797885890697 1.30920775829015 3.26710249743816 -1.53681610399722
"Whitehouse" "D" "RI" "Clinton" "Obama" -18.1154481088217 -2.14031885889892 -0.123173899488529 -2.42024803820132 1.11391866843151
"Wicker" "R" "MS" "Trump" "McCain" 9.96916332285471 -13.3116930988871 -3.42565857052358 -2.10784311721612 -1.77431430562078
"Wyden" "D" "OR" "Clinton" "Obama" -18.2486700237736 -4.06502907678981 0.420749408409296 -1.04255017417381 -0.826645460212641
