"Senator_Name" "Senator_Party" "Senator_State" "State_Winner_2016" "State_Winner_2008" "PCA Axis 1" "PCA Axis 2" "PCA Axis 3" "PCA Axis 4" "PCA Axis 5"
"Hoeven" "R" "ND" "Trump" "McCain" 11.8414659547666 5.03207677687143 -0.664125003122174 -0.36072819597063 0.416657757116126
"Inhofe" "R" "OK" "Trump" "McCain" 11.8263506350344 4.88061435748644 -0.57608242537552 -0.231200101018648 0.405630501637569
"Johnson" "R" "WI" "Trump" "Obama" 11.8414659547666 5.03207677687143 -0.664125003122174 -0.36072819597063 0.416657757116126
"Kaine" "D" "VA" "Clinton" "Obama" -7.80986536359242 8.84089302305676 1.20432240828918 0.918867209367673 1.29807644729768
"Kennedy" "R" "LA" "Trump" "McCain" 11.7129622384678 4.72646663320654 -0.603371585135716 0.0113970853452253 -0.35222332746441
"King" "I" "ME" "Clinton" "Obama" -3.57702058111754 9.21022489572105 5.61951479932036 -1.08055217015861 0.631329882647875
"Klobuchar" "D" "MN" "Clinton" "Obama" -8.78430213680088 8.80904210710734 -0.532813904766454 1.73442015468072 0.752818747539882
"Lankford" "R" "OK" "Trump" "McCain" 11.8785196131384 4.79746339598368 -0.559889613987833 0.0137398646548672 0.279934363255908
"Leahy" "D" "VT" "Clinton" "Obama" -9.30025534752618 8.06621544228127 -1.68251670247941 1.069816836495 -0.959030080212374
"Lee" "R" "UT" "Trump" "McCain" 11.2150025419608 3.7566390058577 -0.0311601734488241 1.08182248751727 -1.37733151602946
"Manchin" "D" "WV" "Trump" "McCain" -1.32524861017105 8.34766944590693 6.37693609683105 -3.35136972397349 -4.8476375850023
"Markey" "D" "MA" "Clinton" "Obama" -10.367471101547 4.75902006854564 -2.95015945874144 -2.68504842073463 -0.402078895937615
"McCain" "R" "AZ" "Trump" "McCain" 10.410225661446 4.13031066470155 -1.29653232309547 -1.05268936246951 -0.821457039534084
"McCaskill" "D" "MO" "Trump" "McCain" -6.03526003820944 8.72448656399226 3.73795598486353 -1.25436626382327 0.481461881885022
"McConnell" "R" "KY" "Trump" "McCain" 11.5249311990552 5.06180843523974 -0.814040803669713 -0.546020528714001 0.865162050136353
"Menendez" "D" "NJ" "Clinton" "Obama" -8.4408927899839 7.42332994605173 -0.566011699239463 0.791707100720907 -1.06209792660118
"Merkley" "D" "OR" "Clinton" "Obama" -10.622355525514 4.11502434340621 -2.60078171730408 -2.49723003750382 -0.414040856314055
"Moran" "R" "KS" "Trump" "McCain" 11.3825662165305 4.67191540115549 -0.776415237884342 -0.0724945304861666 0.218413762991074
"Murkowski" "R" "AK" "Trump" "McCain" 10.4882135247208 4.40841327907009 -0.190603512395209 -0.360963986492393 -1.66711890078138
"Murphy" "D" "CT" "Clinton" "Obama" -9.08570990465839 7.93378190904873 -0.343903843677102 0.970029823648376 -0.526629537426359
"Murray" "D" "WA" "Clinton" "Obama" -9.61690082686975 7.63228116190802 -1.88182971466229 1.23109832370751 -1.18951099227891
"Nelson" "D" "FL" "Trump" "Obama" -6.78474367353587 9.23091974437242 2.98673531293321 0.677716897862678 2.55229112408185
"Paul" "R" "KY" "Trump" "McCain" 9.89482825220588 2.97398476778103 0.126451045406701 0.698250631329885 -1.24803271231887
"Perdue" "R" "GA" "Trump" "McCain" 11.6818395039998 4.91015875388416 -0.655382247060447 -0.602614718980005 0.62399443278439
"Peters" "D" "MI" "Trump" "Obama" -9.0045687734787 7.57972125501821 -0.905522624252304 0.218570646430504 -0.154818872874086
"Portman" "R" "OH" "Trump" "Obama" 11.1976804479686 5.07278027127549 -0.314780375554067 -0.351205393218173 0.313211915434411
"Reed" "D" "RI" "Clinton" "Obama" -9.45660753445322 7.4735366945539 -2.01681707450097 0.245404586199608 -1.79847239123012
"Risch" "R" "ID" "Trump" "McCain" 11.9064338203611 4.4308290868856 -0.391689372591687 0.443864326547661 0.0170295890851434
"Roberts" "R" "KS" "Trump" "McCain" 11.7337897201145 5.18321346841334 -0.676666443091433 -0.573419740923702 0.646336420764496
"Rounds" "R" "SD" "Trump" "McCain" 11.7337897201145 5.18321346841334 -0.676666443091433 -0.573419740923702 0.646336420764496
"Rubio" "R" "FL" "Trump" "Obama" 11.7513595348781 4.26614107189907 -0.288113215831236 0.669633573025152 0.297849448733405
"Sanders" "I" "VT" "Clinton" "Obama" -10.7529493235372 1.39196687695665 -2.02044625963007 -3.41118150637128 1.04649003470145
"Sasse" "R" "NE" "Trump" "McCain" 11.4138436940073 3.88496932280274 -0.643011475682396 0.143078872348582 -0.388624796595351
"Schatz" "D" "HI" "Clinton" "Obama" -8.90019328188943 7.45852666565691 -1.15682922009975 1.01240397242004 -0.266390324141275
"Schumer" "D" "NY" "Clinton" "Obama" -9.83319951789559 6.66733285349582 -2.35431308657135 -0.373927515029011 -1.16999101713385
"Scott" "R" "SC" "Trump" "McCain" 11.9222394699973 4.5770972711379 -0.461597977769607 0.350325313863135 0.0128305972739835
"Shaheen" "D" "NH" "Clinton" "Obama" -8.59523204465019 8.81823328537259 -0.212782564532632 1.81700106561748 0.64616127125183
"Shelby" "R" "AL" "Trump" "McCain" 11.7074421456489 5.04187637306033 -0.649501458377849 -0.6497666467448 0.717660632095532
"Stabenow" "D" "MI" "Trump" "Obama" -9.16594485471302 7.3664551441362 -1.02355265764198 0.0682982884136571 -0.657640930987616
"Sullivan" "R" "AK" "Trump" "McCain" 11.5562575715966 4.27049168507695 -0.588047947255933 -0.0798671934463934 0.204841599029282
"Tester" "D" "MT" "Trump" "McCain" -6.74494309329702 9.06978606497723 3.33969193505006 0.099019405895459 1.42415983676443
"Thune" "R" "SD" "Trump" "McCain" 11.7398649578892 5.03030944739817 -0.793357170519025 -0.486964879535468 -0.178074831270637
"Tillis" "R" "NC" "Trump" "Obama" 11.3405724895817 4.95805879014405 -0.486118573531968 -0.159429341328935 0.447249006555646
"Toomey" "R" "PA" "Trump" "Obama" 11.5912860764125 3.9225066683385 -0.403783235139516 1.21375680993031 -0.167343228605006
"Udall" "D" "NM" "Clinton" "Obama" -9.2773633154859 5.85382923384919 -0.335397257408413 -1.22803747356182 -0.748597033748702
"Van Hollen" "D" "MD" "Clinton" "Obama" -9.80785473768452 7.22819870959019 -1.95141226735869 1.03664511435925 -1.83450422267263
"Warner" "D" "VA" "Clinton" "Obama" -5.40964613490552 9.19883370296103 4.49020933599544 0.00745351129232081 1.77496197908408
"Warren" "D" "MA" "Clinton" "Obama" -11.2737508004053 1.1842131623075 -2.63219725404298 -4.96523836231691 1.17125737198961
"Whitehouse" "D" "RI" "Clinton" "Obama" -9.62184047385658 7.42867874413678 -2.24589937787706 0.320696651106942 -1.609162777757
"Wicker" "R" "MS" "Trump" "McCain" 11.6742397822002 4.50273408410769 -0.322859418246056 -0.138844569960698 0.633984334601989
"Wyden" "D" "OR" "Clinton" "Obama" -9.91401213216763 6.19986586715678 -1.73640628159155 -0.762885011815318 -1.21874164973834
"Young" "R" "IN" "Trump" "Obama" 11.3110560304122 5.17366563795967 -0.576084634241513 -0.348260867587858 0.439837580662771
