senator_name,senator_party,senator_state,pca_1,pca_2
Akaka,D,HI,-13.916485795221801,0.2899223500081881
Alexander,R,TN,12.64421707057241,-9.731100067031198
Barrasso,R,WY,21.123481027360384,2.3917115308018584
Baucus,D,MT,-11.43356131393275,-1.0294872259799042
Bayh,D,IN,-1.7175601549409134,3.9154780808838625
Begich,D,AK,-11.662855989003223,-0.30784811108956894
Bennett,R,UT,15.193712959848813,-8.811798601331201
Bingaman,D,NM,-13.075009780990861,0.11090787067322756
Bond,R,MO,11.079604020314145,-9.674044433759839
Boxer,D,CA,-13.37998115464852,0.26179324433052303
Brown,D,OH,-14.003909347491442,1.245309089891325
Brownback,R,KS,17.75147642429882,-4.376212566908397
Bunning,R,KY,21.662249596503262,8.977352300736916
Burr,R,NC,21.307650440922153,3.8982275077366917
Cantwell,D,WA,-12.488057114175627,0.08412579395956642
Cardin,D,MD,-14.225656369177562,0.930809227572862
Carper,D,DE,-11.887224937285339,0.9736760412067692
Casey,D,PA,-12.698443229990161,0.08485404048377765
Chambliss,R,GA,20.489904687629625,1.6783050181477326
Coburn,R,OK,23.681909494817354,12.631336313818336
Cochran,R,MS,12.326279984346977,-9.891322827979893
Collins,R,ME,2.2662772880172697,-8.706268932412549
Conrad,D,ND,-10.341454949240928,0.6218269370120335
Corker,R,TN,16.887398766188642,-0.04930196928907419
Cornyn,R,TX,20.600496515262975,2.2186637790692227
Crapo,R,ID,19.191412082684533,-0.7761234335147478
DeMint,R,SC,23.20136992140032,10.643300409408722
Dodd,D,CT,-13.455545526817062,0.43767659358662514
Dorgan,D,ND,-10.662407750154282,-0.8755693509870193
Durbin,D,IL,-14.47370735941651,1.1914486822062542
Ensign,R,NV,21.09914227752804,4.440511766427642
Enzi,R,WY,21.245063667202423,3.868771229000854
Feingold,D,WI,-5.774375158733021,7.643351735138965
Feinstein,D,CA,-13.374306841064929,0.7706057107711014
Graham,R,SC,19.259171229684213,2.075532367701004
Grassley,R,IA,19.265304522145076,1.8954257712970943
Gregg,R,NH,13.395009429048882,-3.264250576176284
Hagan,D,NC,-11.137828788425482,-0.06324539753243182
Harkin,D,IA,-14.167084284402579,0.8387003720836766
Hatch,R,UT,15.835027473566821,-4.830719134802939
Hutchison,R,TX,16.37137865355622,-3.2815849477599404
Inhofe,R,OK,21.948239108019195,5.186122661940876
Inouye,D,HI,-13.883506962714295,0.48360719859754997
Isakson,R,GA,20.43260220900817,0.3172463506605643
Johanns,R,NE,18.329528788287018,1.082239917029878
Johnson,D,SD,-12.653899942698324,-0.43614225431332626
Kerry,D,MA,-13.83753686367232,1.2536405665488155
Klobuchar,D,MN,-10.539984211969173,0.15444064662315907
Kohl,D,WI,-12.471755105280172,-0.024735688471984214
Kyl,R,AZ,21.63701641795402,5.440080815176913
Landrieu,D,LA,-10.386809704169991,-0.4626643631243153
Lautenberg,D,NJ,-14.129649412544262,0.356508398440445
Leahy,D,VT,-13.590932580800892,0.8482720397980618
Levin,D,MI,-14.03607728916186,0.6944922511995413
Lieberman,D,CT,-10.507397004496879,0.48061645145377857
Lincoln,D,AR,-8.889095672557119,-1.8169877764960596
Lugar,R,IN,11.482694230892069,-5.387539260635618
McCain,R,AZ,20.971506426793862,4.915490321453942
McCaskill,D,MO,-4.772663457713733,8.272692652495566
McConnell,R,KY,19.940476992435656,-1.4016966081073317
Menendez,D,NJ,-13.666440807987648,1.224467214386894
Merkley,D,OR,-13.644808268171346,0.9207839811858675
Mikulski,D,MD,-12.26874624168177,1.4276904455603023
Murkowski,R,AK,9.914684211897423,-10.668048224612772
Murray,D,WA,-13.108336316530007,0.33385004109359256
Nelson,D,FL,-12.068878126748531,-0.15913789778078377
Nelson,D,NE,-1.8749796578365274,-6.324071648435312
Pryor,D,AR,-11.43745318080523,-0.9910621395223355
Reed,D,RI,-14.191089182914814,0.7606924259081064
Reid,D,NV,-13.065225023358975,-0.09960074784286439
Risch,R,ID,19.714063283450447,-1.02044855384251
Roberts,R,KS,17.62623616546972,-4.840351511067958
Rockefeller,D,WV,-11.847290719847184,2.231536941569753
Sanders,I,VT,-13.67156833697224,2.358060085036764
Schumer,D,NY,-13.856358520436238,0.11645452890937287
Sessions,R,AL,20.73719891452951,3.865699539779027
Shaheen,D,NH,-12.995140681267536,-0.15609725307265127
Shelby,R,AL,15.56548737357964,-7.587639561619282
Snowe,R,ME,2.3830984739213146,-6.772900014684269
Stabenow,D,MI,-13.396788924893322,0.2883884285011619
Tester,D,MT,-11.691201955274272,-1.1632295309015495
Thune,R,SD,20.793049833364677,1.6990389623150226
Udall,D,CO,-11.993683017531659,0.788766563149819
Udall,D,NM,-13.317041156215772,0.8855306624062532
Vitter,R,LA,20.2963003714126,2.4814640537407495
Voinovich,R,OH,5.999163587226828,-8.392245225959186
Warner,D,VA,-11.69768895252385,-0.4780230940745449
Webb,D,VA,-9.088626091638588,-0.6101486335687035
Whitehouse,D,RI,-13.991551870078249,1.5039460861363982
Wicker,R,MS,17.339415957749022,-5.258153943470859
Wyden,D,OR,-13.259551993349675,0.2444537191416125
Burris,D,IL,-13.942936506062509,1.3453345322646544
Kaufman,D,DE,-13.243749307240178,2.0018760093163683
Bennet,D,CO,-11.159530346765864,1.0069776109584068
Gillibrand,D,NY,-12.934870639866586,0.6297156414251445
