senator_name,senator_party,senator_state,pca_1,pca_2
Alexander,R,TN,-12.805347922442758,0.8615178901449059
Baldwin,D,WI,15.938351832498082,-2.4121710174464916
Barrasso,R,WY,-14.252764810896567,0.11033893511881608
Bennet,D,CO,12.95829036761776,-5.803081683875441
Blumenthal,D,CT,16.917955120147756,1.1591062379661847
Blunt,R,MO,-13.516546139427254,-0.27162316982664353
Booker,D,NJ,18.64786458658398,14.770843220927281
Boozman,R,AR,-13.87364443765125,-0.23940019822808972
Brown,D,OH,16.051925065018885,-1.9837630425535278
Burr,R,NC,-13.609651846905736,0.951279573100027
Cantwell,D,WA,15.827091306502343,-3.37189245055169
Capito,R,WV,-13.523490841151595,-0.15681268354765787
Cardin,D,MD,15.031088294051193,-4.9039548308771215
Carper,D,DE,12.152217392961786,-5.892486909996368
Casey,D,PA,14.959159447949252,-5.05369040667844
Cassidy,R,LA,-13.897921590378434,-0.35567827434159716
Cochran,R,MS,-12.038603792653614,1.0990930367896548
Collins,R,ME,-10.350117187744202,-1.3949055944491142
Coons,D,DE,12.709279913733551,-5.867337188365519
Corker,R,TN,-13.32220492107339,0.4862395963186038
Cornyn,R,TX,-13.845426403242666,-0.3270371383470118
Cortez Masto,D,NV,14.651998804400757,-0.7041694437822029
Cotton,R,AR,-14.30428349611933,-0.17737442958865404
Crapo,R,ID,-14.458785830305532,0.15104750694996144
Cruz,R,TX,-13.920685838921667,0.7541401529192401
Daines,R,MT,-14.378314286476275,0.13804319319434835
Donnelly,D,IN,7.980505794093805,-6.410145796504921
Duckworth,D,IL,16.5040934974386,1.2698506352936365
Durbin,D,IL,14.780276150140748,-2.085309856121133
Enzi,R,WY,-14.324643324068793,-0.0553517428552916
Ernst,R,IA,-14.323693204332471,0.5655770880791563
Feinstein,D,CA,13.583712741051842,-3.761291696612788
Fischer,R,NE,-14.204702613209033,-0.2135002945655674
Flake,R,AZ,-14.643440800513728,2.0654859456240753
Franken,D,MN,15.667746766491257,-2.0879856629838915
Gardner,R,CO,-13.856165626248895,-0.08792005583416322
Gillibrand,D,NY,19.871771870076078,20.202291954756642
Graham,R,SC,-13.337115286673859,1.160123210339592
Grassley,R,IA,-13.899376046964193,-0.1648618969775267
Harris,D,CA,18.820393457792306,12.626732465383188
Hassan,D,NH,14.99055523333074,-4.72892180103559
Hatch,R,UT,-13.735300711762122,-0.2911463711488006
Heinrich,D,NM,15.988659760311734,-1.1799660283194078
Heitkamp,D,ND,6.711313354688367,-6.772406332740026
Heller,R,NV,-12.0681358274753,1.6890082719442843
Hirono,D,HI,16.527556515892098,1.8052903431835547
Hoeven,R,ND,-13.954362678131377,0.2295706458546132
Inhofe,R,OK,-14.596047749194648,0.72293586679382
Isakson,R,GA,-11.407729069201418,2.9060784568014726
Johnson,R,WI,-14.491213534932093,0.01952909517974919
Kaine,D,VA,13.944165478622352,-4.960516235517714
Kennedy,R,LA,-13.742187448955208,0.27722286538154844
King,I,ME,9.961133028928938,-6.628273018034181
Klobuchar,D,MN,14.8138570994507,-5.227399126527806
Lankford,R,OK,-14.871312292867602,0.3971853841225145
Leahy,D,VT,15.53865820209983,-3.3861079087200268
Lee,R,UT,-14.273234954608053,3.4199744177164417
Manchin,D,WV,4.995790682137726,-5.935836671288219
Markey,D,MA,18.118644596354823,8.579224367736378
McCain,R,AZ,-10.271370277394912,3.0072726751380157
McCaskill,D,MO,10.347545769371921,-5.852891859447326
McConnell,R,KY,-13.67269599244344,-0.04554820025009411
Merkley,D,OR,18.556955975744284,10.169535029969362
Moran,R,KS,-13.77644814367632,0.5004637107707048
Murkowski,R,AK,-12.294121864922337,-0.2471680175012345
Murphy,D,CT,15.044883044153842,-3.7241694578815117
Murray,D,WA,15.927726434002711,-2.9887837807169273
Nelson,D,FL,12.4203514686401,-5.644975562724163
Paul,R,KY,-12.326471027363114,5.706735034835712
Perdue,R,GA,-14.208967308100481,0.3279254612258757
Peters,D,MI,14.783114955554336,-2.9452048051944937
Portman,R,OH,-13.543922953734953,-0.3057444244654237
Reed,D,RI,15.25810086805765,-3.151689166821772
Risch,R,ID,-14.804566522251271,0.3734088867573775
Roberts,R,KS,-13.596667174786957,-0.17686858338256814
Rounds,R,SD,-13.828574175818373,0.05162535209518604
Rubio,R,FL,-14.02683521085674,0.817677718148635
Sanders,I,VT,18.63815388137879,17.10025399584672
Sasse,R,NE,-14.43576009052749,1.174681606697911
Schatz,D,HI,16.02121478749486,0.13517846887382884
Schumer,D,NY,16.49490245825029,-0.1584575148318481
Scott,R,SC,-14.297591607650553,0.0620822466258225
Shaheen,D,NH,14.142869337303098,-5.5886845473144655
Shelby,R,AL,-13.84041875034823,0.11538661820852233
Stabenow,D,MI,15.212776489993619,-2.72553508939513
Sullivan,R,AK,-14.174848118474955,0.21293157234968224
Tester,D,MT,12.17886905358805,-5.4072094695920105
Thune,R,SD,-14.05625078165436,-0.16223392141215634
Tillis,R,NC,-13.48767894245912,0.3447331179468851
Toomey,R,PA,-14.440932537490449,0.7120071840245074
Udall,D,NM,16.2713833659254,0.378099014468559
Van Hollen,D,MD,16.355188732744725,-1.8955007625669693
Warner,D,VA,10.790975428781614,-6.70221382731012
Warren,D,MA,19.697788836926954,18.59437348434785
Whitehouse,D,RI,16.082053373866547,-2.0005728175718414
Wicker,R,MS,-14.001369887273356,0.022372888429699117
Wyden,D,OR,17.613157928129777,4.3874875989808615
Young,R,IN,-13.57012666851915,0.0038087432612452167
