senator_name,senator_party,senator_state,pca_1,pca_2
Akaka,D,HI,-13.910998314724864,-0.9085280783997738
Baucus,D,MT,-10.136784448053769,1.4348680214323315
Bennett,R,UT,15.9941315021488,-2.751125402573807
Biden,D,DE,-12.811084817752427,-0.5707142485612556
Bingaman,D,NM,-9.151103860149556,0.15199125360466215
Bond,R,MO,13.891894184343183,-3.1007739405894625
Boren,D,OK,-8.336160291601939,1.1179187114147724
Boxer,D,CA,-13.931827048172497,-0.08756243989927633
Bradley,D,NJ,-12.351949080185836,0.38216981616483586
Breaux,D,LA,-9.036545082391001,3.152329749161753
Brown,R,CO,17.33374055683657,5.421655281373288
Bryan,D,NV,-9.918057978078199,2.1945432005185976
Bumpers,D,AR,-12.312131603039033,1.076186798267252
Burns,R,MT,16.026246455154446,-1.5200741999264822
Byrd,D,WV,-11.221631156282262,4.33747860465605
Campbell,D,CO,-8.637126252851518,0.4590211031835666
Chafee,R,RI,4.775444147377587,-9.955654475534589
Coats,R,IN,14.976632734243637,-1.3646214465999376
Cochran,R,MS,15.573818167636023,-1.9525420237159359
Cohen,R,ME,8.893672976772612,-7.128632954873595
Conrad,D,ND,-9.260251612230942,5.974001893863616
Coverdell,R,GA,16.781657429015787,-0.09139635009904998
Craig,R,ID,18.758504311491475,2.8961953137287466
D'Amato,R,NY,13.793838855606708,-4.046085821255961
Danforth,R,MO,13.081420372540654,-4.090277155893969
Daschle,D,SD,-12.443320552406398,1.3312349203002873
DeConcini,D,AZ,-10.045075975615372,-0.057618026649345566
Dodd,D,CT,-12.703039104713492,-0.7915934299804751
Dole,R,KS,17.807562779213292,-1.2226117443522342
Domenici,R,NM,13.888920546134,-3.8458709849017634
Dorgan,D,ND,-9.182093719248455,3.524382153877813
Durenberger,R,MN,5.191091786872623,-7.954670280309328
Exon,D,NE,-5.406653311917705,2.9230628577258733
Faircloth,R,NC,19.59021618572264,10.346840776424548
Feingold,D,WI,-13.400189611362993,2.713039546326647
Feinstein,D,CA,-11.977308603868014,0.915991145811309
Ford,D,KY,-10.833243148664135,1.7030168136706643
Glenn,D,OH,-12.412097309444256,-0.7973343745659698
Gorton,R,WA,13.492410734327173,-3.909162183168178
Graham,D,FL,-10.771162993074762,0.5893508362060128
Gramm,R,TX,18.157045990192298,1.7728259299043174
Grassley,R,IA,16.07242293332376,-1.5669697515950232
Gregg,R,NH,16.51149378105834,5.291693638400122
Harkin,D,IA,-13.443832953301827,-0.9602929292341159
Hatch,R,UT,17.247104139867307,-0.9781496273746964
Hatfield,R,OR,5.037866751234239,-8.593418801317622
Heflin,D,AL,-2.771076775680555,4.248380217835294
Helms,R,NC,19.11579542795873,13.981378380390325
Hollings,D,SC,-7.869116401517636,4.41378804129745
Inouye,D,HI,-10.331044912885215,-2.1172020334163593
Jeffords,R,VT,0.3696275063651694,-7.736488095032508
Johnston,D,LA,-8.857027156464266,2.503035507427065
Kassebaum,R,KS,11.174922697384952,-5.773191174578893
Kempthorne,R,ID,18.992691647354672,2.8003605015918955
Kennedy,D,MA,-14.027250518508293,-2.1531290521011646
Kerrey,D,NE,-8.14404688448823,0.6901535200300905
Kerry,D,MA,-13.294547962777282,-0.0858394363563995
Kohl,D,WI,-9.345167104638776,5.2055577514486
Lautenberg,D,NJ,-11.438705064822214,-0.8812700715206659
Leahy,D,VT,-13.485408690248695,-0.5554459292464342
Levin,D,MI,-14.230448037586157,-0.5484628665962724
Lieberman,D,CT,-9.316435318942219,-0.7422598095488449
Lott,R,MS,18.07185558435884,1.9114666090039711
Lugar,R,IN,15.424650197839547,-2.3600501205604165
Mack,R,FL,17.471103312082196,0.3464119147819888
Mathews,D,TN,-11.693997288272616,1.2853808299403364
McCain,R,AZ,15.989139795596822,0.05667307988583877
McConnell,R,KY,16.572643884139957,-1.1190055984449745
Metzenbaum,D,OH,-13.529366975202752,-0.8712644183850845
Mikulski,D,MD,-12.959576261279569,0.21286928227870444
Mitchell,D,ME,-14.396826452089737,-1.1045946278483554
Moseley-Braun,D,IL,-14.490458839689408,-1.5927398952896878
Moynihan,D,NY,-13.960853854921808,-1.3793891894815267
Murkowski,R,AK,14.83677660804002,-2.2254297608426126
Murray,D,WA,-12.427613226541345,-2.2230282963280876
Nickles,R,OK,18.187026310703185,2.433442672500107
Nunn,D,GA,-5.549230087415138,0.5108053381027435
Packwood,R,OR,9.390430612349094,-7.401080962459776
Pell,D,RI,-14.39199586906809,-1.4720264368860108
Pressler,R,SD,16.91373081657919,1.444524924452077
Pryor,D,AR,-11.950531026961352,3.293617748384423
Reid,D,NV,-11.033513215262786,1.5102118764632697
Riegle,D,MI,-13.11255617689326,1.574015050362862
Robb,D,VA,-10.712587590882443,-0.7336626279829425
Rockefeller,D,WV,-12.88410585923002,0.2909598037272169
Roth,R,DE,12.686006314535254,3.249116735469836
Sarbanes,D,MD,-14.345031786773026,-0.7063251699914578
Sasser,D,TN,-11.13628929251939,2.723557076095353
Shelby,D,AL,5.76643426828564,-2.396093855737444
Simon,D,IL,-14.18616566718382,-2.4990211020611826
Simpson,R,WY,14.965071237954533,-3.3777322627622963
Smith,R,NH,19.949178892459994,11.704777586040109
Specter,R,PA,6.181504497431841,-7.080341189642485
Stevens,R,AK,12.848062224304858,-3.703464577612301
Thurmond,R,SC,16.16726944725439,-2.0672794142051525
Wallop,R,WY,19.97589865075951,9.802832169450923
Warner,R,VA,12.50292837397526,-2.9699382384969537
Wellstone,D,MN,-14.257374930516265,-0.6131139926024781
Wofford,D,PA,-12.667867570433062,0.8314358944130863
